task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
35	ff/544926	37168464	factorize_worker (factorize_k20_worker6)	COMPLETED	0	2025-09-21 17:30:47.554	10m 18s	2m 26s	97.4%	230.6 MB	990.1 MB	36.4 MB	3.5 MB
33	e0/4ca550	37168465	factorize_worker (factorize_k10_worker6)	COMPLETED	0	2025-09-21 17:30:47.754	10m 18s	2m 27s	97.5%	230.3 MB	989.1 MB	36.4 MB	3.5 MB
37	19/098f87	37168466	factorize_worker (factorize_k30_worker6)	COMPLETED	0	2025-09-21 17:30:48.003	10m 18s	2m 24s	97.8%	232.3 MB	990.1 MB	36.4 MB	3.5 MB
23	be/bf5535	37168453	factorize_worker (factorize_k10_worker4)	COMPLETED	0	2025-09-21 17:30:45.392	10m 41s	4m 14s	46.8%	230.3 MB	989.8 MB	36.4 MB	3.5 MB
36	ef/5bd866	37168467	factorize_worker (factorize_k25_worker6)	COMPLETED	0	2025-09-21 17:30:48.154	11m 13s	2m 25s	97.6%	230.6 MB	990 MB	36.4 MB	3.5 MB
43	40/605c3e	37168473	factorize_worker (factorize_k10_worker8)	COMPLETED	0	2025-09-21 17:30:49.361	12m 7s	1m 49s	97.3%	230.6 MB	990.1 MB	36.4 MB	3.5 MB
44	8e/406c7c	37168475	factorize_worker (factorize_k15_worker8)	COMPLETED	0	2025-09-21 17:30:49.757	12m 6s	1m 48s	97.7%	230.5 MB	991 MB	36.4 MB	3.5 MB
46	9f/923ac6	37168474	factorize_worker (factorize_k25_worker8)	COMPLETED	0	2025-09-21 17:30:49.556	12m 11s	1m 52s	96.7%	233 MB	990.4 MB	36.4 MB	3.5 MB
41	d6/3b14c1	37168472	factorize_worker (factorize_k25_worker7)	COMPLETED	0	2025-09-21 17:30:49.154	12m 17s	2m 29s	97.9%	232.4 MB	990.5 MB	36.4 MB	3.5 MB
42	ea/e0bf5d	37168470	factorize_worker (factorize_k30_worker7)	COMPLETED	0	2025-09-21 17:30:48.756	12m 22s	2m 31s	97.5%	231 MB	990.3 MB	36.4 MB	3.5 MB
40	a9/2314db	37168471	factorize_worker (factorize_k20_worker7)	COMPLETED	0	2025-09-21 17:30:48.955	12m 22s	2m 31s	97.6%	230.6 MB	990.1 MB	36.4 MB	3.5 MB
47	97/da0e6e	37168476	factorize_worker (factorize_k30_worker8)	COMPLETED	0	2025-09-21 17:30:49.958	12m 41s	1m 50s	97.2%	230.6 MB	990.3 MB	36.4 MB	3.5 MB
32	3b/4fc2a1	37168463	factorize_worker (factorize_k30_worker5)	COMPLETED	0	2025-09-21 17:30:47.362	13m 9s	5m 4s	54.3%	230.9 MB	990.2 MB	36.4 MB	3.4 MB
45	e9/d7a03f	37168477	factorize_worker (factorize_k20_worker8)	COMPLETED	0	2025-09-21 17:30:50.157	13m 6s	1m 48s	97.5%	230.6 MB	989.9 MB	36.4 MB	3.5 MB
38	70/1c8639	37168468	factorize_worker (factorize_k10_worker7)	COMPLETED	0	2025-09-21 17:30:48.362	13m 28s	3m 38s	59.9%	231 MB	990.4 MB	36.4 MB	3.5 MB
